gene_id		SH200_E7_Z11_ST23	SH201_E7-Q	SH202_E7-R	SH203_E7-S	SH204_E7-T	SH205_E7-V	SH206_E7-X	SH221	SH222	SH223	SH230
tr209616		0	0	0	0	0	0	0	16	9	32	4
tr209624		242	34	13	55	76	63	25	573	1286	703	488
tr209625		0	0	0	0	0	0	0	20	24	21	13
tr209634		11	13	0	6	3	14	1	35	130	57	26
tr209635		0	0	0	0	0	0	0	2	11	8	7
tr209636		21	7	0	10	11	10	2	426	741	416	286
tr20964		7	2	0	0	2	4	0	14	46	27	9
tr209641		0	0	0	0	0	0	0	7	12	9	2
tr209642		0	0	0	0	0	0	0	1	0	0	7
tr209645		2	2	3	2	2	38	0	5	14	21	3
tr209650		0	0	0	0	0	0	0	0	0	0	24
tr209654		0	0	0	1	0	0	0	1	11	6	4
tr209655		3040	236	6001	508	927	8545	3109	164985	93524	161935	32385
tr209657		0	0	0	0	0	0	0	27	28	38	28
tr209663		0	0	0	0	0	1	0	3	1	1	7
tr209664		0	0	0	0	0	0	0	5	11	13	1
tr209667		1	0	1	0	0	5	0	316	133	137	74
tr209671		0	0	0	0	0	0	0	0	3	2	0
tr209672		0	0	0	0	0	0	0	21	27	32	15
tr209678		75	34	22	34	9	56	19	1082	3098	2052	489
tr209684		0	0	0	0	0	0	0	12	18	24	7
tr209686		0	0	0	1	0	0	0	16	20	34	14
tr209691		0	0	0	0	0	0	0	1	0	3	0
tr209693		16	3	0	3	0	7	0	258	325	282	93
tr209697		0	0	0	0	0	0	0	15	15	29	6
tr209702		0	0	0	0	1	2	0	4	17	6	1
tr209706		74	32	28	23	28	102	22	177	753	235	312
tr20971		0	0	0	1	2	2	3	21	82	37	10
tr209711		0	0	0	0	0	0	0	0	2	1	2
tr209714		0	0	0	0	0	0	0	3	1	0	1
tr209718		1	1	0	2	1	2	0	15	33	28	28
tr209733		5	3	1	9	24	15	3	171	320	382	132
tr209738		23	8	9	9	5	21	1	193	430	148	114
tr209745		11	3	2	3	6	9	5	143	384	200	69
tr20975		83	76	18	64	41	242	21	624	2859	1059	1123
tr209750		0	2	8	7	0	24	96	40	82	40	7
tr209762		0	0	0	2	0	3	0	8	12	11	4
tr209775		3	4	0	2	1	4	0	1	8	9	1
tr209779		3	2	1	1	0	2	0	26	66	40	27
tr20978		0	0	0	0	0	0	0	19	25	24	20
tr209782		0	1	0	0	0	0	0	1	12	5	1
tr209788		17	10	6	7	0	20	3	114	449	307	208
tr209790		150	44	17	28	37	104	20	1095	1852	897	633
tr209791		3	1	1	1	0	3	0	4	0	4	2
tr209794		0	0	0	0	0	0	0	13	15	25	1
tr209797		0	0	0	0	0	0	0	2	8	5	1
tr209798		1	0	0	0	0	0	0	3	10	4	3
tr20981		4	1	0	5	2	5	0	11	140	39	50
tr209812		131	91	59	86	187	224	30	1422	2647	1364	1070
tr209820		0	0	0	1	0	1	0	53	74	33	12
tr209821		0	0	0	0	0	0	0	4	1	1	0
tr209825		0	1	0	1	0	1	0	6	86	16	46
tr209826		0	0	0	0	0	0	0	4	0	0	0
tr209830		0	0	0	0	0	0	0	43	47	82	13
tr209832		2	8	1	7	2	18	0	5	15	13	13
tr209833		0	0	0	0	0	0	0	15	30	24	20
tr209835		1	0	0	4	1	6	1	56	81	73	29
tr209839		0	0	0	0	0	0	0	0	4	1	0
tr209853		0	0	0	0	0	0	0	4	5	14	2
tr209858		53	27	2	21	18	86	2	890	1704	1065	614
tr209864		1628	732	94	525	270	1275	131	3246	10633	6035	3260
tr209865		43	15	5	11	30	38	3	561	860	361	446
tr209868		23	9	6	15	14	40	2	302	544	325	163
tr209870		0	0	0	1	0	0	0	42	53	86	16
tr209875		0	0	0	0	0	0	0	2	5	12	3
tr209876		0	0	0	0	0	0	0	12	11	15	6
tr209879		0	0	0	0	0	0	0	26	46	67	19
tr209889		0	0	0	0	0	0	0	1	2	6	0
tr209898		0	0	0	0	0	0	0	0	1	3	6
tr209901		0	0	0	0	0	0	0	11	38	66	22
tr209903		2	0	0	1	0	0	0	6	23	11	12
tr209907		0	0	0	1	0	0	0	8	24	22	4
tr209915		0	0	0	0	0	0	0	5	8	12	0
tr209916		0	0	0	0	0	0	0	10	14	18	9
tr209921		53	9	0	5	0	13	0	50	109	91	78
tr209922		478	59	5	97	54	94	3	469	2109	510	631
tr209927		1178	130	106	236	429	518	52	2179	3425	2572	966
tr209941		62	16	18	8	11	30	10	307	614	412	188
tr209942		33	21	1	33	23	33	1	472	800	319	241
tr209950		438	82	47	133	138	380	45	2033	5189	1550	1265
tr209954		0	0	0	0	0	0	0	0	0	0	10
tr209957		88	13	1	16	5	27	9	97	231	591	132
tr209958		0	0	0	0	0	0	0	4	1	3	3
tr20996		246	75	2	23	26	37	3	363	815	419	352
tr209962		88	42	6	25	30	36	3	255	689	390	354
tr209964		134	59	12	31	29	115	12	433	1350	846	633
tr209971		0	0	0	0	0	0	0	3	12	11	8
tr209975		0	0	0	0	0	0	0	1	1	3	2
