gene_id		SH200_E7_Z11_ST23	SH201_E7-Q	SH202_E7-R	SH203_E7-S	SH204_E7-T	SH205_E7-V	SH206_E7-X	SH221	SH222	SH223	SH230
tr100		0	0	1	0	0	0	0	13	65	35	15
tr100001		0	0	0	1	0	0	0	3	22	25	3
tr100005		0	0	0	0	0	0	0	1	1	11	0
tr100008		0	0	0	0	0	0	0	0	1	1	2
tr10001		0	0	0	0	0	0	0	6	8	12	8
tr100027		425	95	64	115	204	273	37	2470	4459	2209	1757
tr10003		70	11	12	44	62	57	20	279	745	358	247
tr100033		20	9	2	12	15	26	1	246	691	416	260
tr100034		0	0	0	0	0	3	0	5	32	23	3
tr100038		3	4	0	6	5	4	0	8	14	9	0
tr100043		0	0	0	0	0	0	0	17	33	44	11
tr100045		0	2	0	0	0	1	0	11	14	9	1
tr10005		22	10	13	6	7	12	3	165	385	359	161
tr100059		0	0	0	0	0	0	0	0	0	3	0
tr100061		53	2	0	18	3	1	0	131	1031	113	81
tr100078		52	14	1	9	1	23	0	202	491	251	174
tr100092		2	5	1	3	12	8	0	139	202	258	127
tr100110		13	14	6	16	21	93	6	66	214	83	102
tr10012		0	0	0	0	0	0	0	3	1	3	0
tr100121		0	1	1	4	0	6	1	96	207	105	83
tr100124		0	0	0	0	0	0	0	5	4	12	2
tr100126		9	11	2	17	14	16	5	65	281	123	67
tr100133		29	18	9	38	53	60	9	1441	1713	1527	952
tr100140		0	0	0	0	0	0	0	15	18	21	5
tr100142		0	0	0	0	0	0	0	1	4	1	3
tr100143		0	0	0	0	0	0	0	0	0	3	0
tr100147		0	0	0	0	0	0	0	12	24	43	11
tr100149		518	293	111	414	558	774	68	5503	9600	7376	3280
tr100161		2	1	0	0	0	0	0	18	72	22	16
tr100163		0	0	0	0	0	0	0	6	1	7	1
tr100166		0	0	0	0	0	0	0	5	1	2	3
tr100167		2	0	5	2	5	50	2	84	56	82	12
tr100181		17	13	6	8	5	53	8	269	289	267	102
tr100183		0	0	0	0	0	0	0	0	2	4	0
tr100188		0	0	0	0	0	0	2	0	0	1	3
tr100192		0	0	0	0	0	0	0	5	6	16	9
tr100195		1	0	0	0	0	0	0	0	3	2	6
tr10020		22	1	0	0	0	2	0	5	16	11	7
tr100203		0	0	0	0	0	0	0	0	1	2	3
tr100205		0	0	0	0	2	0	0	3	4	0	1
tr100209		1027	140	23	106	116	224	52	1323	4054	2218	1237
tr100210		0	0	0	1	0	0	0	1	30	16	4
tr100215		0	0	0	0	0	0	0	3	1	0	1
tr100220		0	0	0	1	0	0	0	42	58	58	30
tr100231		164	105	28	108	63	237	25	3111	6064	5838	2536
tr100232		0	0	0	0	0	0	0	0	0	0	57
tr100241		11	25	21	65	116	49	29	0	33	46	38
tr100249		1	6	2	2	1	7	1	46	119	64	66
tr100258		0	0	0	0	0	0	0	5	18	20	4
tr100263		56	24	15	18	26	165	51	490	1077	626	592
tr100267		3	0	0	2	0	4	0	75	235	106	51
tr10028		0	0	0	0	0	0	0	3	4	1	0
tr100283		0	0	0	0	0	0	0	0	0	0	5
tr100286		40	16	3	26	22	38	3	275	490	339	227
tr100289		0	0	0	0	0	0	0	7	4	13	4
tr100293		117	70	20	52	108	94	11	716	1932	1054	1124
tr100299		0	0	0	0	0	0	0	4	3	1	5
tr10030		0	0	0	0	0	0	0	0	0	0	6
tr100305		0	0	0	0	0	0	0	4	1	0	0
tr100308		0	0	0	0	0	0	0	8	13	12	3
tr100331		0	0	0	1	0	0	0	23	27	46	22
tr100335		0	0	0	0	0	0	0	2	6	12	4
tr10034		0	0	0	0	0	0	0	5	7	5	6
tr100344		0	0	0	0	0	0	0	7	29	24	8
tr10035		27	12	7	9	18	14	3	321	525	316	239
tr100368		0	0	0	0	0	0	0	18	11	15	8
tr100372		0	0	0	0	0	0	0	21	26	24	9
tr100373		0	0	0	0	0	0	4	0	0	0	8
tr100375		21	13	3	7	4	30	8	93	352	187	134
tr100383		0	0	0	0	0	0	0	15	22	39	9
tr100384		0	0	0	0	0	0	0	2	6	10	3
tr100390		0	0	0	4	0	0	0	52	84	67	29
tr10040		58	39	10	45	31	45	7	1083	2867	1289	1174
tr100408		0	0	0	1	0	0	0	20	27	56	16
tr100410		0	0	0	0	0	0	0	48	85	133	51
tr100415		0	0	0	0	0	0	0	4	4	3	1
tr10042		0	1	0	0	0	0	0	0	5	0	0
tr100421		0	0	0	0	0	0	0	14	15	22	5
tr10043		43	49	109	69	113	577	177	1095	1728	688	1994
tr100431		0	0	0	0	0	0	0	3	0	0	0
tr100432		0	0	0	0	0	0	0	21	22	18	6
tr100439		0	0	0	0	0	0	0	46	115	133	38
tr100440		0	0	0	0	0	0	0	5	20	8	10
tr100442		4	6	0	0	1	3	0	24	57	28	19
tr10048		3	1	2	3	1	7	2	123	194	196	112
tr100483		81	13	128	32	31	331	72	2509	4184	8645	1925
tr100484		0	0	0	0	0	0	0	5	0	2	0
tr100494		501	79	67	147	268	234	48	964	1762	983	509
tr100498		0	0	0	0	0	0	0	0	1	5	0
tr1005		3	1	0	0	0	3	0	113	151	54	28
tr100506		0	0	0	0	0	0	0	4	12	11	4
tr100509		0	0	0	0	0	0	0	1	3	7	0
tr10051		0	0	0	3	0	1	0	2	20	9	2
tr100514		0	0	0	0	0	0	0	3	12	14	3
tr100529		0	0	0	0	0	0	0	3	0	0	5
tr100534		0	0	0	0	0	0	0	0	0	4	0
tr100537		14	9	0	6	1	21	0	73	211	100	70
tr100539		0	0	0	0	0	0	0	1	3	4	5
tr100545		0	0	0	0	0	0	0	0	0	0	5
tr10055		18	5	3	10	6	36	6	159	364	211	125
tr10056		20	21	6	19	17	43	6	189	482	400	176
tr100572		83	45	62	44	117	103	25	375	792	601	267
tr100573		59	37	17	46	54	121	17	556	1241	663	342
tr100575		0	0	0	0	0	0	0	23	41	67	38
tr100613		1	0	0	0	0	0	2	5	1	1	0
tr100636		0	0	0	0	0	0	0	0	2	5	0
tr100648		22	6	0	12	1	20	6	183	297	179	140
tr100654		1	0	0	1	0	0	0	13	24	10	0
tr100655		0	0	0	0	0	0	0	4	1	7	0
tr100656		4	0	13	4	4	141	4	336	296	276	87
tr100663		0	0	0	3	0	0	0	119	180	198	92
tr100668		74	55	30	110	174	140	25	761	1312	1479	548
tr100673		3	1	3	4	1	1	0	27	33	62	17
tr100678		0	0	0	0	0	0	0	0	3	1	6
tr100685		0	0	0	0	0	0	0	2	0	9	0
tr10069		0	0	0	0	0	0	0	0	4	0	0
tr100691		0	0	0	0	0	0	0	28	44	75	13
tr100696		0	0	0	0	0	0	0	0	0	3	0
tr100705		0	0	0	0	0	0	0	12	24	20	11
tr100707		2	2	1	2	1	6	4	75	93	74	33
tr10071		0	0	0	0	0	0	0	0	0	0	6
tr100715		0	0	0	0	0	0	0	5	10	6	4
tr100719		0	0	0	0	0	0	0	0	2	6	0
tr100721		0	0	0	0	0	0	0	5	5	6	2
tr100723		0	0	0	0	0	0	0	4	0	0	0
tr100727		0	0	0	2	0	0	0	43	97	104	30
tr100731		145	78	34	132	190	237	26	445	707	818	468
tr100734		648	121	27	106	85	238	17	2174	5090	2499	1572
tr100735		9	8	0	1	0	2	0	0	22	0	4
tr100737		45	8	7	16	35	56	7	144	376	366	100
tr100741		0	0	0	1	0	0	0	0	4	3	6
tr100745		48	31	1	9	1	12	1	193	303	151	109
tr100769		0	0	0	0	0	0	0	3	9	9	10
tr100774		15	7	7	15	8	7	6	97	176	100	48
tr100780		0	0	0	0	0	0	0	14	21	41	6
tr100795		1971	647	75	387	291	959	186	4819	13027	7270	5461
tr1008		0	1	0	0	0	7	0	57	175	82	88
tr100824		98	40	11	56	40	98	56	1394	2856	4846	1331
tr10083		260	72	194	131	322	361	99	1644	2778	2164	908
tr100835		0	0	0	0	0	0	0	17	16	28	8
tr100839		0	0	5	3	5	19	0	458	63	195	43
tr100846		0	0	0	0	0	0	0	8	22	13	8
tr100847		0	0	0	0	0	0	0	0	3	3	1
tr100858		0	0	0	1	0	0	0	9	11	10	7
tr10086		1	0	0	0	0	1	0	26	50	12	23
tr100862		3	1	0	0	0	6	0	35	20	39	11
tr100876		0	1	0	0	0	0	0	2	9	4	0
tr100880		0	0	0	0	0	0	0	14	27	28	16
tr10089		266	91	233	196	502	263	157	1130	2334	1742	843
tr100894		1	2	0	3	0	3	0	110	190	98	40
tr100906		0	0	0	0	0	0	0	1	0	3	3
tr100907		0	0	0	2	3	1	0	3	15	9	8
tr100913		4	10	0	6	27	12	0	130	278	139	96
tr100919		0	0	0	1	0	0	0	29	39	48	21
tr100922		1	0	0	1	2	0	0	19	55	23	24
tr100924		0	0	0	1	0	0	0	31	63	56	28
tr100932		0	0	0	1	0	0	0	19	39	49	11
tr100948		0	0	0	0	0	0	0	70	145	145	38
tr100951		0	0	0	0	0	0	0	7	10	16	3
tr100955		60	4	21	17	26	32	3	154	477	173	128
tr100963		0	0	0	0	0	0	0	1	0	3	3
tr100967		0	0	0	0	0	0	0	2	6	3	0
tr100968		0	0	0	0	0	0	0	8	17	9	0
tr100974		0	0	0	0	0	0	0	6	14	19	3
tr10098		0	0	0	0	0	0	0	0	0	0	2
tr100981		1463	518	67	279	340	680	69	1656	4209	2550	1531
tr100982		0	0	0	0	0	2	0	17	9	7	3
tr101004		45	23	13	37	59	85	16	385	769	479	326
tr101010		12	4	0	6	7	7	2	127	216	133	104
tr101022		0	0	0	0	0	0	0	2	19	22	9
tr101027		0	0	0	0	0	0	0	2	5	0	2
tr101039		89	47	6	114	93	139	21	825	839	947	481
tr101046		14	22	6	2	0	24	6	394	598	2351	380
tr101053		0	0	0	0	0	0	0	17	44	67	13
tr101057		60	56	408	68	98	1770	299	2004	12880	4851	3642
tr101058		0	0	0	0	0	0	0	8	4	2	5
tr101059		0	0	0	0	0	0	0	0	0	0	21
tr101071		0	0	0	0	0	0	0	1	5	1	0
tr101099		0	0	0	0	0	0	0	9	16	15	4
tr10110		0	0	12	1	0	1	2	17	4	6	50
tr101101		32	28	7	13	21	45	1	219	1024	558	392
tr101106		0	0	0	0	0	0	0	0	3	2	0
tr101107		152	27	5	24	8	43	4	224	786	370	239
tr10111		19	15	13	11	41	24	1	350	355	226	108
tr101115		0	0	0	0	0	0	0	5	12	15	4
tr101126		22	10	5	8	16	15	4	87	263	210	76
tr101130		0	0	0	0	0	0	0	3	10	3	9
tr101131		0	0	0	0	0	0	0	6	0	6	1
tr101135		69	27	25	58	140	71	42	587	839	990	388
tr101145		0	0	0	1	0	0	0	9	23	26	8
tr101147		3	0	0	0	6	0	0	4	10	6	3
tr101155		0	0	0	2	2	1	0	35	22	56	16
tr101171		3287	2395	6670	4016	12262	3839	5270	54700	22502	49644	7112
tr10118		2	2	0	0	0	2	0	0	8	1	2
tr101181		5	0	0	1	7	4	0	41	35	32	4
tr101184		0	0	0	0	0	0	0	1	8	11	1
tr101192		0	0	0	0	0	0	0	4	7	11	9
tr101197		0	0	0	1	0	0	0	10	18	20	1
tr101208		0	0	0	0	0	0	0	3	2	9	0
tr101210		17	46	117	75	199	3	39	1692	1212	1516	3018
tr101221		164	26	16	27	62	65	8	621	1131	877	379
tr101223		0	0	0	1	0	0	0	0	3	1	0
tr101228		0	0	0	1	0	0	0	24	31	66	18
tr101242		0	0	0	0	0	0	0	3	7	3	1
tr101245		0	0	0	0	0	0	0	13	14	18	11
tr101275		1	0	2	2	1	1	1	41	79	35	32
tr101283		2	2	0	1	8	1	0	39	39	17	21
tr101289		4	6	2	4	8	12	3	24	58	40	22
tr101292		693	271	94	195	348	590	88	793	1932	922	695
tr101304		42	65	11	67	68	96	13	328	1279	519	500
tr101307		0	0	0	0	0	0	0	3	0	1	1
tr101309		0	0	0	1	0	0	0	4	2	8	0
tr10131		0	0	0	0	0	0	0	0	0	0	4
tr101311		0	0	0	0	0	0	0	10	14	25	10
tr101313		0	0	0	0	0	0	0	28	29	8	24
tr101330		29	7	8	17	16	81	15	84	295	129	75
tr101336		385	145	8	84	85	178	56	478	1287	643	513
tr101340		0	0	0	0	0	0	0	37	64	93	43
tr101345		0	0	0	0	0	0	0	3	0	2	0
tr101346		130	29	33	57	111	70	11	432	1041	734	461
tr101362		0	5	59	6	5	3	33	86	38	18	153
tr101365		0	0	0	0	0	0	0	3	2	4	0
tr101366		0	0	0	0	0	0	0	21	35	58	32
tr101376		0	1	0	3	0	0	0	104	113	204	70
tr101379		0	0	0	0	0	0	0	0	0	0	5
tr101380		0	0	0	0	0	0	0	9	2	5	1
tr101382		0	0	0	0	0	0	0	5	11	6	4
tr101386		0	0	0	0	0	0	0	6	9	10	1
tr101414		11	4	3	2	0	22	6	21	157	107	94
tr101417		0	0	0	0	0	0	0	14	34	31	9
tr101425		0	0	0	0	0	0	0	8	1	15	6
tr10143		0	0	0	0	0	0	0	23	28	58	17
tr101432		0	0	0	0	0	0	0	1	3	4	4
tr101437		8	1	1	5	8	12	4	131	134	85	66
tr101445		0	0	0	0	0	0	0	11	1	0	0
tr101448		15	19	40	38	64	115	14	278	633	439	256
tr101453		35	6	8	17	26	20	0	135	424	244	116
tr101473		0	0	0	0	0	0	0	9	12	12	1
tr101484		0	0	0	0	0	0	0	25	33	42	20
tr101501		1	0	0	0	1	0	0	4	11	0	1
tr101506		237	118	14	130	105	163	23	286	567	607	171
tr101532		0	0	0	1	0	1	0	7	7	3	6
tr101535		1471	177	6	151	76	157	3	1339	6411	1508	1292
tr101538		0	0	0	1	0	0	0	36	52	63	29
tr10154		0	0	6	0	1	0	0	7	1	2	14
tr101547		0	0	0	0	0	0	0	0	1	4	0
tr101557		0	0	0	0	0	0	0	5	15	18	6
tr101558		16	11	9	13	12	30	3	172	273	217	96
tr101559		410	334	121	364	567	370	190	2523	3294	2202	1369
tr101561		1	0	0	0	0	0	0	8	5	1	4
tr101563		0	0	0	0	0	0	0	49	56	102	27
tr101574		0	0	0	0	0	0	0	22	44	71	19
tr101576		0	0	0	0	0	2	1	0	2	4	0
tr101580		0	0	0	0	0	0	0	3	13	0	7
tr101581		0	0	0	0	0	0	0	5	2	2	1
tr101585		0	0	0	0	0	0	0	16	43	44	16
tr101588		0	0	0	0	0	2	0	2	0	3	0
tr101593		2	1	7	27	4	28	10	16	244	77	204
tr101610		0	0	0	0	0	0	0	4	7	12	0
tr101612		0	0	0	0	0	0	0	173	1	26	5
tr101626		18	4	0	4	2	12	0	83	188	96	75
tr101630		35	10	21	32	74	38	11	730	932	852	293
tr101631		35	35	0	16	17	18	3	6	39	15	10
tr101633		68	40	10	43	29	48	1	235	1562	314	237
tr101647		3	0	0	0	0	0	0	5	6	8	3
tr101658		0	0	0	0	0	0	0	11	1	2	1
tr101667		0	0	0	0	0	0	0	4	5	8	1
tr101674		37	21	17	31	75	78	7	408	788	637	318
tr101684		5	2	0	2	13	6	2	34	16	28	11
tr101685		0	0	0	0	0	0	0	1	1	1	5
tr101690		0	0	0	0	0	0	0	1	1	0	3
tr101696		701	281	41	227	115	706	21	499	2602	910	687
tr10170		22	13	2	14	11	23	3	239	386	289	211
tr101713		130	26	0	23	11	21	0	61	408	92	85
tr101720		7	4	0	0	0	6	2	5	67	22	16
tr10173		2	0	0	0	0	0	0	34	47	17	17
tr101740		12	8	3	6	20	18	0	32	265	129	126
tr101741		3	2	15	3	7	42	1	303	165	241	50
tr10175		0	0	0	0	1	0	0	4	1	5	1
tr101750		427	120	20	40	37	201	30	413	1553	476	572
tr10176		0	0	0	0	0	0	0	0	19	7	6
tr101761		14	10	5	7	8	13	4	159	301	265	119
tr101782		37	6	1	3	9	10	0	189	348	165	121
tr101783		0	0	0	0	0	0	0	0	0	3	0
tr101786		0	0	1	0	0	0	0	21	65	31	41
tr101787		324	50	31	72	118	165	16	760	1881	1021	659
tr101804		193	73	6	15	5	39	8	27	107	20	32
tr101816		0	2	6	1	0	20	2	394	183	237	72
tr101820		2	2	3	5	0	6	6	97	140	83	70
tr101827		0	0	0	1	0	0	0	40	1	8	13
tr101851		7	0	2	6	1	9	1	49	80	50	39
tr101858		16	10	0	7	2	12	0	38	282	122	120
tr10186		9	3	0	5	6	2	0	70	196	69	106
tr101860		337	84	58	76	39	344	56	1581	1775	1042	646
tr101867		0	0	0	0	0	0	0	0	4	0	0
tr10187		13	3	0	4	6	10	0	74	162	107	33
tr101870		0	0	0	0	1	0	0	14	4	10	6
tr101873		2	0	0	0	0	1	0	4	11	9	8
tr101876		0	0	0	0	0	1	0	10	2	0	0
tr101878		17	8	0	4	2	3	0	250	445	194	115
tr101892		0	0	0	1	0	0	0	8	16	7	9
tr101899		3	2	0	3	2	3	0	33	82	53	34
tr101900		7	1	2	0	4	3	0	40	73	53	25
tr10191		0	1	0	2	0	4	0	73	89	76	38
tr101910		0	0	0	0	0	0	0	17	39	41	15
tr101912		0	0	0	0	0	0	0	0	0	3	0
tr101913		0	0	0	1	0	0	0	187	344	363	113
tr101916		0	0	0	0	0	1	0	18	2	3	0
tr101927		240	90	195	148	448	315	100	1281	2008	1556	709
tr101945		1	4	0	0	0	0	0	23	111	20	21
tr101949		0	0	0	0	0	0	0	1	0	1	2
tr10195		23	6	11	8	26	26	4	378	583	345	239
tr101951		20	5	14	16	47	66	4	412	561	652	245
tr101983		37	5	1	8	14	17	0	195	438	216	100
tr101986		32	89	21	244	172	361	50	64	788	141	404
tr101989		8	0	0	0	0	0	0	3	16	11	4
tr101995		0	0	0	0	0	0	0	0	0	0	16
tr1020		5	0	0	4	2	9	0	87	161	56	59
tr102003		1	2	1	0	0	0	0	6	42	20	15
tr102012		2	4	13	22	63	17	3	5	16	13	18
tr102026		81	26	16	23	16	41	4	454	967	579	351
tr102035		65	52	7	42	41	69	10	30	131	321	103
tr102043		80	43	16	13	15	90	19	499	1203	860	844
tr102048		5	2	3	3	2	7	3	101	243	119	43
tr102063		6	4	0	9	0	15	0	121	331	218	102
tr102078		0	0	0	0	0	0	0	3	0	3	0
tr10209		0	0	0	0	0	0	0	7	3	1	0
tr102090		4	2	1	1	1	4	2	35	54	27	26
tr102094		0	0	0	0	0	0	0	0	3	1	0
tr102099		2	0	1	0	0	32	1	235	9	82	1
tr102122		5	2	0	2	0	1	0	32	54	28	11
tr102124		9	7	12	11	4	27	12	108	323	201	124
tr102127		0	0	0	0	0	0	0	0	0	22	1
tr102128		0	0	0	1	0	0	0	1	75	2	4
tr102148		43	15	3	12	6	14	1	109	439	128	96
tr10215		4	4	0	4	0	8	0	18	22	18	17
tr102150		0	0	0	0	0	0	0	2	21	6	18
tr102151		1	0	0	0	0	2	0	2	3	1	6
tr102152		0	0	3	0	0	0	0	2	1	0	4
tr102154		48	12	8	21	16	61	14	370	1066	528	361
tr102163		55	11	16	13	38	46	6	98	235	101	90
tr102170		7	4	1	2	0	2	1	139	96	82	43
tr102171		0	0	0	0	0	0	0	6	6	4	1
tr102172		0	3	0	1	0	1	0	12	36	26	6
tr102179		1	0	0	3	0	2	2	226	431	180	183
tr10218		0	0	0	0	0	0	0	8	50	12	16
tr102184		0	0	0	0	0	0	0	48	91	70	102
tr102196		8	1	0	0	0	2	0	22	56	21	41
tr102204		0	0	0	0	0	0	0	0	0	0	2
tr102205		0	0	0	0	0	0	0	5	8	8	4
tr102207		49	6	8	13	5	36	7	147	520	279	166
tr102223		0	0	0	0	0	0	0	1	7	4	0
tr102225		0	0	0	0	0	0	0	2	0	0	5
tr102236		0	0	0	1	0	1	0	5	12	13	0
tr10224		0	0	0	0	0	0	0	3	1	1	0
tr102241		15	6	0	1	0	5	0	48	144	55	75
tr10225		0	0	0	0	0	0	0	0	0	0	5
tr102250		6	1	0	2	0	6	0	9	31	17	8
tr102251		6	3	3	4	10	6	0	50	65	39	15
tr102252		100	34	9	48	29	47	5	692	1285	785	480
tr10227		2	0	0	0	0	0	0	4	1	2	0
tr102273		211	58	4	21	5	68	4	709	1824	949	663
tr10229		0	2	0	2	3	0	0	23	75	45	14
tr102298		3	5	0	7	11	0	0	0	2	0	4
tr102306		0	0	0	0	0	0	0	0	0	0	9
tr102313		375	110	185	225	361	1152	78	4034	4309	3218	1393
tr102336		0	0	0	0	0	0	0	3	0	1	0
tr102377		1	1	0	6	2	1	0	47	55	48	28
tr102380		6	1	1	0	4	17	1	32	108	66	51
tr10240		0	0	3	1	0	4	0	10	13	3	18
tr102400		6	0	0	1	5	2	0	64	75	87	26
tr102402		1078	89	138	222	503	507	46	2654	3008	2504	1099
tr102403		5	1	2	2	5	5	0	129	225	141	91
tr10241		0	0	0	0	0	0	0	21	31	58	15
tr102420		57	14	12	16	35	84	4	393	765	467	344
tr102427		88	56	59	73	182	120	36	263	541	384	183
tr102428		2	24	2	30	37	37	1	799	315	385	442
tr102430		323	165	35	130	130	208	34	734	2423	917	900
tr102442		3	8	8	32	26	33	8	10	1	0	8
tr102443		110	10	4	23	39	46	3	439	777	357	153
tr102447		8	1	0	2	0	3	0	8	34	15	18
tr102455		2	0	0	0	0	1	0	55	39	27	5
tr102466		2	0	0	0	1	2	1	11	18	20	9
tr102468		304	124	21	110	96	248	26	460	872	681	344
tr102485		2	6	2	7	10	3	1	0	35	5	18
tr102487		10	0	0	4	6	12	1	106	146	84	49
tr102491		315	201	161	279	805	472	104	468	1068	1091	503
tr102517		0	0	0	0	0	0	0	28	53	9	2
tr10252		49	4	8	7	13	14	4	121	261	116	46
tr102533		0	0	0	0	0	0	0	1	2	2	4
tr102539		0	0	0	0	0	0	0	0	1	1	6
tr102541		0	0	0	2	0	0	0	18	47	8	3
tr102544		0	0	0	0	0	0	0	0	0	0	3
tr102548		231	91	48	79	129	76	22	858	1145	1076	571
tr102553		0	0	0	0	0	0	0	11	5	7	3
tr102556		420	46	21	47	22	270	33	981	2216	1341	943
tr102557		149	17	28	31	49	93	14	255	932	364	130
tr102571		10	12	1	16	13	24	3	161	364	329	206
tr102581		0	0	0	0	0	0	0	5	1	2	2
tr102589		0	0	0	0	3	0	0	7101	756	1033	1225
tr10263		46	20	17	20	62	98	12	457	940	615	356
tr102640		84	24	10	33	61	94	21	269	912	344	190
tr102649		0	0	0	0	0	0	0	4	4	3	5
tr102650		1	0	0	0	0	0	0	1	18	14	1
tr102662		1	4	0	6	1	2	0	43	58	43	12
tr10267		9	3	4	3	18	6	2	30	75	66	26
tr102683		89	37	20	47	43	72	23	879	2371	986	927
tr1027		11	0	0	2	2	3	0	16	34	11	16
tr102707		80	32	67	70	95	379	48	709	1059	748	426
tr102712		489	38	11	69	80	76	1	1623	3315	706	469
tr102713		3	4	2	16	4	8	3	5	31	11	13
tr102719		18	8	1	7	2	11	0	95	125	114	91
tr102721		0	0	0	0	0	0	0	0	0	0	3
tr102723		313	126	22	91	95	159	21	1061	2743	1575	954
tr102727		1	0	0	0	0	0	0	2	16	6	3
tr102730		13	6	0	18	9	12	0	148	280	134	147
tr102762		11	6	1	2	0	12	2	112	265	145	73
tr102771		11	2	0	4	4	7	3	296	30	229	0
tr102783		57	24	6	15	15	21	4	236	386	201	134
tr102785		107	46	0	47	18	58	7	861	1887	992	856
tr102786		23	3	2	3	16	15	1	30	87	74	27
tr102799		4	0	0	0	0	3	0	52	276	81	58
tr102806		11	0	3	2	3	5	0	60	179	81	57
tr102817		0	0	0	0	0	0	0	5	12	2	9
tr102818		1	1	0	0	0	0	0	5	12	0	4
tr102829		114	61	2	32	34	36	2	135	665	237	271
tr10283		107	34	0	35	47	70	4	903	2390	1173	740
tr102834		22	5	0	8	2	15	2	75	198	73	61
tr102836		5	1	0	1	0	1	0	12	21	1	5
tr10284		55	31	10	47	30	77	7	565	1181	884	476
tr102849		32	7	1	12	15	86	0	968	1006	898	432
tr102853		0	0	0	0	0	0	1	10	4	4	0
tr102873		0	0	0	0	0	0	0	34	41	14	17
tr102881		113	37	9	35	28	57	9	516	1438	929	645
tr102885		0	0	0	2	1	0	0	16	50	12	10
tr102887		0	0	0	0	0	0	0	4	1	1	0
tr102888		0	0	0	0	0	0	0	6	0	0	9
tr102899		61	33	0	53	26	51	11	613	1205	589	547
tr10290		0	0	0	0	0	0	0	12	23	30	1
tr102900		0	1	0	0	0	0	0	134	23	54	12
tr102902		44	13	9	4	0	59	3	447	469	557	163
tr102914		0	0	0	0	0	0	0	23	27	31	12
tr102919		0	1	0	0	0	0	0	0	4	0	0
tr102922		0	0	0	0	0	0	0	0	0	4	0
tr102928		16	7	0	5	2	9	0	36	67	23	42
tr102937		0	0	0	0	0	0	0	8	6	4	0
tr102948		931	80	120	173	420	825	77	6536	9299	5031	2967
tr10295		1	0	2	0	0	19	1	170	9	83	3
tr102957		5	0	0	0	0	0	0	9	3	7	5
tr102961		38	23	11	30	20	99	16	946	2007	1167	875
tr102965		12	0	0	0	0	0	0	2	17	3	0
tr102967		0	0	0	0	0	0	0	2	13	2	10
tr102971		0	0	0	0	0	0	0	0	8	0	0
tr102988		77	9	0	6	0	16	1	187	362	226	107
tr103		0	0	0	0	0	0	0	3	0	1	0
tr103005		4	5	4	2	2	13	11	64	48	222	13
tr103027		30	13	0	2	0	7	0	44	101	18	69
tr103034		290	74	25	99	190	262	35	1406	2465	1301	682
tr103040		1864	317	66	415	375	306	149	2780	6217	6907	1312
tr103041		2	8	0	3	0	6	0	5	118	2	33
tr103049		0	0	0	0	0	0	0	42	1	8	0
tr103052		429	132	76	66	101	334	41	286	1495	662	514
tr103057		1	1	0	2	0	7	1	72	138	140	42
tr10306		0	0	0	0	0	0	1	18	17	8	10
tr103062		0	0	2	0	0	0	0	2	31	5	12
tr103068		5	1	0	6	9	1	0	4	24	11	0
tr103077		36	21	1	11	12	17	1	667	1843	360	407
tr103091		1	0	0	0	0	0	0	2	15	8	1
tr103093		2	3	10	1	4	9	0	51	59	44	28
tr10310		2	0	6	0	0	10	0	101	5	41	6
tr103105		0	0	0	0	0	0	0	1	4	0	0
tr103130		6	4	2	0	5	0	2	5	17	14	0
tr103131		216	45	78	111	227	197	36	1223	2195	1213	461
tr103135		4	0	0	0	0	0	0	0	0	0	0
tr10315		6	3	0	3	1	0	3	39	117	73	43
tr103156		5	1	2	5	0	7	1	79	116	134	44
tr103157		3	7	0	9	11	58	0	1037	787	520	232
tr103161		9	2	0	6	8	3	0	85	173	45	54
tr103165		171	57	70	122	335	167	38	1115	1806	1210	493
tr103167		7	1	0	8	27	18	0	171	190	142	101
tr103170		19	4	7	25	22	23	1	258	440	299	209
tr103179		927	222	567	446	1169	1668	214	7178	7516	6121	2150
tr103186		88	137	43	100	181	232	17	454	726	617	306
tr103189		0	0	1	0	0	0	0	0	0	0	4
tr103198		0	0	0	0	0	1	0	5	4	5	0
tr103210		27	6	1	9	7	19	6	226	486	215	156
tr103218		231	120	31	166	457	209	32	679	874	958	465
tr10322		107	27	19	38	69	103	3	277	614	464	334
tr103222		1	7	8	2	8	28	3	1497	1375	1416	326
tr103224		1317	148	65	146	129	401	31	1447	3928	1272	938
tr10324		3	10	1	4	0	18	0	15	155	54	22
tr103250		0	0	0	0	0	0	0	0	3	0	0
tr103259		0	0	0	0	0	0	0	2	7	1	3
tr103263		158	37	0	24	29	33	2	246	294	81	72
tr10327		0	0	0	1	0	0	0	44	80	79	32
tr103278		1	0	0	1	4	0	0	68	49	36	4
tr103279		174	49	10	16	11	93	20	872	1792	1111	716
tr103280		66	27	33	21	18	173	15	915	1026	820	541
tr103281		70	26	11	46	45	32	5	171	802	202	164
tr103286		17	1	3	1	0	28	8	52	2	57	9
tr103311		2	0	0	1	0	12	0	54	44	28	37
tr103313		87	32	1	25	39	17	0	60	577	78	79
tr103332		0	0	0	0	0	0	0	0	0	0	2
tr10334		2	3	1	4	0	16	4	3	117	12	51
tr103357		1	0	0	0	0	0	0	12	34	14	20
tr103359		320	130	32	182	184	249	34	3950	8433	4248	3560
tr103375		131	49	9	32	29	77	14	230	714	221	322
tr103397		0	0	0	0	0	0	0	10	19	5	10
