"","x"
"1",37
"2",9
"3",16
"4",16
"5",9
"6",42
"7",43
"8",9
"9",41
"10",20
"11",42
"12",6
"13",39
"14",39
"15",44
"16",9
"17",16
"18",16
"19",24
"20",41
"21",48
"22",8
"23",14
"24",15
"25",7
"26",4
"27",34
"28",34
"29",49
"30",32
"31",48
"32",19
"33",12
"34",12
"35",33
"36",33
"37",39
"38",31
"39",45
"40",24
"41",27
"42",6
"43",39
"44",9
"45",47
"46",9
"47",9
"48",28
"49",28
"50",34
"51",20
"52",17
"53",40
"54",19
"55",14
"56",20
"57",23
"58",49
"59",45
"60",45
"61",10
"62",10
"63",19
"64",39
"65",47
"66",9
"67",47
"68",19
"69",40
"70",37
"71",37
"72",49
"73",37
"74",47
"75",21
"76",37
"77",37
"78",37
"79",37
"80",37
"81",47
"82",37
"83",37
"84",37
"85",37
"86",37
"87",37
"88",37
"89",37
"90",37
"91",37
"92",37
"93",37
"94",24
"95",19
"96",8
"97",19
"98",20
"99",8
"100",8
"101",49
"102",13
"103",37
"104",39
"105",18
"106",18
"107",18
"108",18
"109",44
"110",18
"111",18
"112",18
"113",18
"114",30
"115",19
"116",39
"117",19
"118",31
"119",19
"120",19
"121",19
"122",43
"123",43
"124",6
"125",40
"126",24
"127",48
"128",7
"129",10
"130",28
"131",28
"132",28
"133",49
"134",10
"135",23
"136",48
"137",49
"138",39
"139",45
"140",4
"141",15
"142",20
"143",43
"144",32
"145",39
"146",42
"147",12
"148",47
"149",46
"150",16
"151",16
"152",32
"153",18
"154",18
"155",5
"156",39
"157",31
"158",16
"159",16
"160",6
"161",21
"162",47
"163",48
"164",7
"165",9
"166",39
"167",47
"168",19
"169",1
"170",9
"171",9
"172",47
"173",18
"174",18
"175",18
"176",43
"177",18
"178",43
"179",43
"180",43
"181",49
"182",48
"183",3
"184",3
"185",49
"186",3
"187",13
"188",49
"189",48
"190",49
"191",3
"192",3
"193",3
"194",3
"195",19
"196",29
"197",3
"198",3
"199",3
"200",44
"201",3
"202",20
"203",15
"204",39
"205",23
"206",23
"207",48
"208",50
"209",44
"210",44
"211",50
"212",39
"213",18
"214",49
"215",18
"216",39
"217",12
"218",32
"219",20
"220",39
"221",32
"222",28
"223",48
"224",12
"225",19
"226",13
"227",44
"228",44
"229",13
"230",10
"231",13
"232",45
"233",49
"234",19
"235",48
"236",32
"237",32
"238",48
"239",19
"240",12
"241",48
"242",20
"243",43
"244",49
"245",13
"246",39
"247",45
"248",32
"249",49
"250",43
"251",39
"252",27
"253",48
"254",25
"255",32
"256",43
"257",44
"258",8
"259",27
"260",19
"261",27
"262",19
"263",28
"264",42
"265",31
"266",45
"267",32
"268",12
"269",43
"270",43
"271",45
"272",49
"273",39
"274",23
"275",31
"276",39
"277",37
"278",39
"279",17
"280",3
"281",3
"282",3
"283",3
"284",3
"285",16
"286",46
"287",39
"288",42
"289",31
"290",34
"291",24
"292",49
"293",37
"294",42
"295",15
"296",45
"297",16
"298",50
"299",17
"300",2
"301",2
"302",4
"303",29
"304",10
"305",49
"306",39
"307",39
"308",19
"309",41
"310",42
"311",32
"312",39
"313",39
"314",31
"315",45
"316",10
"317",22
"318",31
"319",41
"320",6
"321",11
"322",39
"323",19
"324",42
"325",19
"326",32
"327",39
"328",29
"329",45
"330",1
"331",16
"332",40
"333",39
"334",49
"335",21
"336",25
"337",24
"338",42
"339",39
"340",22
"341",10
"342",41
"343",12
"344",31
"345",39
"346",27
"347",4
"348",20
"349",15
"350",47
"351",40
"352",41
"353",24
"354",16
"355",31
"356",9
"357",10
"358",9
"359",24
"360",19
"361",41
"362",24
"363",41
"364",19
"365",19
"366",31
"367",19
"368",49
"369",21
"370",16
"371",36
"372",30
"373",47
"374",1
"375",21
"376",45
"377",36
"378",49
"379",47
"380",41
"381",41
"382",21
"383",12
"384",29
"385",41
"386",41
"387",40
"388",15
"389",22
"390",41
"391",41
"392",10
"393",44
"394",37
"395",41
"396",41
"397",18
"398",39
"399",50
"400",50
"401",41
"402",15
"403",15
"404",16
"405",21
"406",41
"407",47
"408",41
"409",41
"410",41
"411",15
"412",7
"413",40
"414",24
"415",24
"416",24
"417",39
